case_id;backend;model;stage;raw_stage;evidence_regime;has_tests;tests_total;tests_passed;oracle_ref;model_marker;governed_decision;marker_extracted;marker_strict_format;latency_s;input_tokens;output_tokens;total_tokens;policy_path;policy_stage;policy_blockers;policy_text_signals;overclaim_detected;overclaim_fixed;failure_signal;error_category;test_group;model_vs_oracle;governance_vs_oracle;model_vs_governance
OP020;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1517;102;1619;json_flag;S1;pendência|pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP021;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1636;141;1777;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP022;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1534;79;1613;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP023;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1628;96;1724;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP024;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1600;132;1732;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP025;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1578;105;1683;json_flag;S1;pendência|pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP026;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;6;1507;112;1619;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP027;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1488;106;1594;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP028;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1537;86;1623;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP029;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1676;72;1748;oráculo_testes;S4;pendência;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP030;openai;gpt-5.2;S1;S4;no_oracle;FALSO;0;0;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1753;91;1844;regras_estágio_texto;S1;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_true
OP031;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1435;108;1543;oráculo_testes;S1;pendência|negação;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A2;TN;correct;agree_false
OP032;openai;gpt-5.2;S1;S4;no_oracle;FALSO;0;0;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1483;71;1554;regras_estágio_texto;S1;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_true
OP033;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1609;102;1711;json_flag;S1;negação;afirma_correcao;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP034;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1396;76;1472;json_flag;S1;pede_ação|negação;afirma_correcao;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP035;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1446;64;1510;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP036;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;4;1535;123;1658;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP037;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1720;65;1785;oráculo_testes;S4;pendência|pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP038;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1382;64;1446;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP039;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;1;1;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1579;77;1656;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP040;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1577;96;1673;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP041;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1753;110;1863;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP042;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1695;69;1764;oráculo_testes;S4;pendência;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP043;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1566;78;1644;oráculo_testes;S4;pendência;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP044;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1424;94;1518;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A2;TN;correct;agree_false
OP045;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;5;1660;115;1775;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP046;openai;gpt-5.2;S1;S4;no_oracle;FALSO;0;0;;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1539;52;1591;regras_estágio_texto;S1;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_true
OP047;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;3;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1863;122;1985;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP048;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1431;104;1535;json_flag;S1;pendência|pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP049;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1598;85;1683;oráculo_testes;S4;pede_ação;;FALSO;FALSO;FALSO;E7_OK;A4;FN;correct;M-/D+
OP050;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1411;111;1522;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP051;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1582;115;1697;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP052;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;2;1567;93;1660;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP053;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;3;1529;92;1621;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP054;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1581;96;1677;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
OP055;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;5;1319;85;1404;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP056;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1540;99;1639;oráculo_testes;S1;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A2;TN;correct;agree_false
OP057;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;3;1705;129;1834;oráculo_testes;S3;pede_ação;elogio;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP058;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;3;1655;111;1766;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP059;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;5;1764;117;1881;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP060;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1943;101;2044;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP061;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;3;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1274;93;1367;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A2;TN;correct;agree_false
OP062;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;3;2;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;4;1576;98;1674;oráculo_testes;S3;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A3;TN;correct;agree_false
OP063;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;2;1509;65;1574;regras_estágio_texto;S1;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP064;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1516;71;1587;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP065;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1229;77;1306;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A2;TN;correct;agree_false
OP066;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;2;1592;70;1662;regras_estágio_texto;S1;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP067;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1595;110;1705;json_flag;S1;;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP068;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;1;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1381;116;1497;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E5_OUTPUT;A2;TN;correct;agree_false
OP069;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;4;1604;124;1728;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP070;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;3;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1504;66;1570;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP071;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1677;111;1788;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP072;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1330;127;1457;oráculo_testes;S1;pede_ação;afirma_correcao;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
OP073;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;2;1461;78;1539;regras_estágio_texto;S1;pendência;afirma_correcao;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP074;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;3;1615;113;1728;oráculo_testes;S3;pendência|pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP075;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1216;64;1280;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E2_TYPE;A2;TN;correct;agree_false
OP076;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;2;1362;85;1447;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E3_MATH;A2;TN;correct;agree_false
OP077;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1495;94;1589;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP078;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1648;122;1770;json_flag;S1;pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP079;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;3;1558;73;1631;regras_estágio_texto;S1;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP080;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1420;99;1519;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E5_OUTPUT;A2;TN;correct;agree_false
OP081;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;5;1562;117;1679;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E3_MATH;A3;TN;correct;agree_false
OP082;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1533;123;1656;json_flag;S1;pendência|pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP083;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;FALSO;5;1695;110;1805;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A3;TN;correct;agree_false
OP084;openai;gpt-5.2;S3;S3;oracle;VERDADEIRO;2;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1728;114;1842;oráculo_testes;S3;pede_ação;;FALSO;FALSO;VERDADEIRO;E6_OTHER_FAIL;A3;TN;correct;agree_false
OP085;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1338;135;1473;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E5_OUTPUT;A2;TN;correct;agree_false
OP086;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1420;84;1504;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
OP087;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1450;145;1595;json_flag;S1;pendência|pede_ação;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;agree_false
OP088;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1288;88;1376;oráculo_testes;S1;pede_ação;;FALSO;FALSO;VERDADEIRO;E4_SYNTAX;A2;TN;correct;agree_false
OP089;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;2;1612;76;1688;regras_estágio_texto;S1;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP090;openai;gpt-5.2;S1;S1;oracle;VERDADEIRO;2;0;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;3;1512;110;1622;oráculo_testes;S1;;;FALSO;FALSO;VERDADEIRO;E1_INPUT;A2;TN;correct;agree_false
OP091;openai;gpt-5.2;S1;S1;no_oracle;FALSO;0;0;;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;2;1653;71;1724;regras_estágio_texto;S1;;;FALSO;FALSO;FALSO;NO_TESTS;A1;NA;NA;M+/D-
OP092;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;3;1552;82;1634;oráculo_testes;S4;pede_ação;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;TP;correct;agree_true
OP093;openai;gpt-5.2;S4;S4;oracle;VERDADEIRO;2;2;VERDADEIRO;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;1570;79;1649;oráculo_testes;S4;;afirma_correcao|elogio;VERDADEIRO;FALSO;FALSO;E7_OK;A4;FN;correct;M-/D+
OP094;openai;gpt-5.2;S2;S2;oracle;VERDADEIRO;3;1;FALSO;FALSO;FALSO;VERDADEIRO;VERDADEIRO;4;1593;139;1732;oráculo_testes;S2;pede_ação;afirma_correcao;FALSO;FALSO;VERDADEIRO;E2_TYPE;A3;TN;correct;agree_false
